annais,sexe,preusuel,rank
1943,2,ANNIE,9.0
1943,2,JOSETTE,10.0
1944,1,JEAN,1.0
1944,1,MICHEL,2.0
1944,1,DANIEL,3.0
1944,1,BERNARD,4.0
1944,1,GÉRARD,5.0
1944,1,JACQUES,6.0
1944,1,ALAIN,7.0
1944,1,ANDRÉ,8.0
1944,1,CLAUDE,9.0
1944,1,PIERRE,10.0
1944,2,MARIE,1.0
1944,2,MONIQUE,2.0
1944,2,NICOLE,3.0
1944,2,FRANÇOISE,4.0
1944,2,JACQUELINE,5.0
1944,2,CHRISTIANE,6.0
1944,2,DANIELLE,7.0
1944,2,MICHÈLE,8.0
1944,2,ANNIE,9.0
1944,2,JOSETTE,10.0
1945,1,JEAN,1.0
1945,1,MICHEL,2.0
1945,1,DANIEL,3.0
1945,1,GÉRARD,4.0
1945,1,BERNARD,5.0
1945,1,ALAIN,6.0
1945,1,JACQUES,7.0
